transaction_id,event_id,purchase_datetime,tickets_qty,price_paid_total,channel,tariff,buyer_geo,lead_time_days
T000028,E003,2026-02-21 11:50:00,1,0.0,pass,plein,touriste,14
T000029,E003,2026-01-28 03:40:00,1,11.88,web,reduit,local,38
T000030,E003,2026-02-18 03:40:00,1,12.2,web,reduit,local,17
T000031,E003,2026-02-22 03:40:00,1,15.69,guichet,plein,local,13
T000032,E003,2026-02-14 13:10:00,1,14.52,web,plein,local,21
T000033,E003,2026-02-08 12:40:00,2,0.0,pass,plein,local,27
T000034,E003,2026-02-16 12:40:00,1,16.31,web,plein,local,19
T000035,E003,2026-02-26 08:10:00,1,15.55,web,plein,local,9
T000036,E003,2026-02-21 10:20:00,2,29.4,web,plein,local,14
T000037,E003,2026-03-05 12:40:00,1,13.28,guichet,last_minute,local,2
T000038,E003,2026-03-06 15:00:00,2,27.57,web,last_minute,local,0
T000039,E003,2026-01-24 05:30:00,1,11.15,guichet,early_bird,local,42
T000040,E003,2026-02-10 15:50:00,3,33.85,partenaire,early_bird,local,25
T000041,E003,2026-02-25 13:00:00,2,30.67,web,plein,local,10
T000042,E003,2026-03-05 04:50:00,2,28.57,web,last_minute,local,2
T000043,E003,2026-02-25 14:20:00,3,44.63,web,plein,local,10
T000044,E003,2026-02-19 10:20:00,1,15.47,web,plein,local,16
T000045,E003,2026-03-03 09:20:00,3,38.94,guichet,last_minute,local,4
T000046,E003,2026-02-19 07:10:00,2,30.42,web,plein,local,16
T000047,E003,2026-02-19 03:00:00,1,12.51,web,reduit,local,16
T000048,E003,2026-02-19 11:00:00,1,14.57,guichet,plein,touriste,16
T000049,E003,2026-01-29 05:00:00,2,21.04,web,early_bird,local,37
T000050,E003,2026-03-05 03:20:00,2,30.79,guichet,plein,touriste,2
T000051,E003,2026-03-01 15:40:00,2,28.64,web,plein,local,6
T000052,E003,2026-01-20 05:10:00,2,23.0,web,early_bird,local,46
T000053,E003,2026-02-11 09:00:00,1,0.0,pass,early_bird,touriste,24
T000054,E003,2026-02-20 09:50:00,1,15.53,guichet,plein,touriste,15
T000055,E003,2026-02-03 15:50:00,2,22.52,guichet,early_bird,local,32
T000056,E003,2026-02-07 06:10:00,2,28.31,guichet,plein,touriste,28
T000057,E003,2026-02-01 15:10:00,2,21.21,web,early_bird,local,34
T000058,E003,2026-02-17 07:00:00,4,59.7,web,plein,local,18
T000059,E003,2026-03-04 09:50:00,4,51.97,web,last_minute,local,3
T000060,E003,2026-03-06 16:00:00,3,38.83,web,last_minute,touriste,0
T000061,E003,2026-02-27 12:30:00,2,0.0,pass,reduit,local,8
T000062,E003,2026-02-20 11:00:00,2,31.06,partenaire,plein,local,15
T000063,E003,2026-02-19 14:30:00,5,72.57,web,plein,local,16
T000064,E003,2026-02-21 14:50:00,3,42.94,guichet,plein,local,14
T000065,E003,2026-02-13 13:20:00,2,25.28,web,reduit,local,22
T000066,E003,2026-03-06 15:00:00,2,22.87,web,reduit,local,0
T000067,E003,2026-02-18 11:10:00,3,36.46,web,reduit,local,17
T000068,E003,2026-02-16 14:10:00,2,34.62,web,plein,local,19
T000069,E003,2026-02-08 03:20:00,2,25.19,web,reduit,local,27
T000070,E003,2026-02-25 13:20:00,1,15.46,web,plein,local,10
T000071,E003,2026-02-20 10:50:00,1,14.49,web,plein,local,15
T000072,E003,2026-01-29 13:40:00,1,13.88,web,plein,local,37
T000073,E003,2026-02-26 13:20:00,1,15.05,guichet,plein,local,9
T000074,E003,2026-02-26 06:30:00,1,15.65,web,plein,local,9
T000075,E003,2026-02-06 13:40:00,1,12.32,partenaire,reduit,local,29
T000076,E003,2026-03-01 06:10:00,1,15.43,partenaire,plein,local,6
T000077,E003,2026-01-29 15:00:00,2,26.21,web,reduit,local,37
T000078,E003,2026-02-25 14:40:00,2,22.72,web,early_bird,touriste,10
T000079,E003,2026-02-26 04:30:00,1,14.0,web,plein,touriste,9
T000080,E003,2026-02-16 11:40:00,1,15.52,web,plein,local,19
T000081,E003,2026-02-25 14:40:00,1,15.11,partenaire,plein,local,10
T000082,E003,2026-02-04 05:50:00,2,30.49,guichet,plein,local,31
T000083,E003,2026-01-27 13:20:00,2,24.48,web,early_bird,local,39
T000084,E003,2026-02-19 07:30:00,1,10.96,web,early_bird,local,16
T000085,E003,2026-02-24 08:40:00,1,16.12,web,plein,local,11
T000086,E003,2026-03-06 16:00:00,1,14.39,web,plein,local,0
T000087,E003,2026-03-06 16:00:00,2,28.44,web,plein,local,0
T000088,E003,2026-02-06 14:00:00,1,11.33,web,early_bird,local,29
T000089,E003,2026-01-31 03:20:00,3,38.65,partenaire,early_bird,local,35
T000090,E003,2026-03-03 09:40:00,1,15.28,web,plein,touriste,4
T000091,E003,2026-02-24 06:30:00,2,24.07,web,reduit,local,11
T000092,E003,2026-02-20 08:50:00,1,15.4,web,plein,local,15
T000093,E003,2026-02-28 10:10:00,2,26.53,web,reduit,local,7
T000094,E003,2026-03-06 12:40:00,4,55.41,web,last_minute,touriste,1
T000095,E003,2026-02-26 10:10:00,1,12.12,web,reduit,local,9
T000096,E003,2026-02-27 08:20:00,1,15.51,web,plein,local,8
T000097,E003,2026-01-20 09:20:00,3,36.36,web,early_bird,local,46
T000098,E003,2026-01-22 03:20:00,1,11.63,web,early_bird,local,44
T000099,E003,2026-02-16 03:00:00,2,29.15,web,plein,touriste,19
T000100,E003,2026-03-06 05:10:00,1,13.57,web,last_minute,local,1
T000101,E003,2026-02-28 06:30:00,3,47.09,web,plein,local,7
T000102,E003,2026-02-24 12:50:00,2,25.8,partenaire,reduit,local,11
T000103,E003,2026-02-26 07:00:00,3,37.19,partenaire,reduit,local,9
T000104,E003,2026-02-08 09:30:00,1,15.01,guichet,plein,local,27
T000105,E003,2026-03-06 13:10:00,1,14.01,web,last_minute,local,1
T000106,E003,2026-02-18 12:00:00,4,60.89,partenaire,plein,touriste,17
T000107,E003,2026-01-09 11:30:00,1,11.89,web,early_bird,local,57
T000108,E003,2026-03-04 03:30:00,2,22.54,web,reduit,local,3
T000109,E003,2026-01-22 13:30:00,2,23.3,web,early_bird,touriste,44
T000110,E003,2026-02-22 13:20:00,1,11.46,web,reduit,local,13
T000111,E003,2026-03-06 12:00:00,3,39.19,guichet,reduit,local,0
T000112,E003,2026-03-02 04:20:00,1,11.81,web,reduit,local,5
T000113,E003,2026-01-24 12:50:00,1,12.06,web,early_bird,local,42
T000114,E003,2026-02-19 05:30:00,1,14.7,web,plein,touriste,16
T000115,E003,2026-02-16 12:50:00,1,15.82,partenaire,plein,local,19
T000116,E003,2026-02-18 06:00:00,2,20.81,web,early_bird,local,17
T000117,E003,2026-02-28 06:50:00,1,15.82,web,plein,local,7
T000118,E003,2026-02-18 03:00:00,1,16.19,partenaire,plein,local,17
T000119,E003,2026-02-25 13:40:00,1,15.0,web,plein,local,10
T000120,E003,2026-02-18 14:40:00,2,29.01,web,plein,local,17
T000121,E003,2026-02-17 07:10:00,1,15.35,partenaire,plein,local,18
T000122,E003,2026-02-15 11:50:00,1,14.76,web,plein,local,20
T000123,E003,2026-02-21 14:40:00,5,77.95,web,plein,local,14
T000124,E003,2026-03-05 04:10:00,4,52.14,web,last_minute,local,2
T000125,E003,2026-01-30 14:40:00,2,30.49,web,plein,local,36
T000126,E003,2026-01-31 07:50:00,2,29.08,web,plein,local,35
T000127,E003,2026-03-06 04:00:00,2,28.17,web,last_minute,local,1
T000128,E003,2026-03-02 05:00:00,1,14.64,web,plein,local,5
T000129,E003,2026-02-11 04:30:00,1,13.91,guichet,plein,local,24
T000130,E003,2026-02-18 05:10:00,1,16.13,web,plein,local,17
T000131,E003,2026-01-25 06:00:00,1,0.0,pass,early_bird,local,41
T000132,E003,2026-02-12 12:10:00,3,46.34,web,plein,local,23
T000133,E003,2026-01-14 07:40:00,1,11.96,web,early_bird,touriste,52
T000134,E003,2026-03-06 12:50:00,4,54.71,web,last_minute,local,1
T000135,E003,2026-03-04 07:50:00,1,15.23,partenaire,plein,local,3
T000136,E003,2026-02-09 05:00:00,1,14.93,web,plein,local,26
T000137,E003,2026-02-22 03:10:00,3,45.91,partenaire,plein,local,13
T000138,E003,2026-02-21 04:50:00,2,29.62,web,plein,touriste,14
T000139,E003,2026-03-06 16:00:00,1,15.07,web,plein,touriste,0
T000140,E003,2026-02-16 07:10:00,1,15.64,web,plein,local,19
T000141,E003,2026-02-06 14:40:00,1,15.2,web,plein,local,29
T000142,E003,2026-03-06 14:00:00,2,27.14,web,last_minute,local,0
T000143,E003,2026-03-02 04:40:00,3,44.21,web,last_minute,local,5
T000144,E003,2026-02-04 07:00:00,3,43.16,web,plein,local,31
T000145,E003,2026-02-24 12:40:00,1,0.0,pass,plein,touriste,11
T000146,E003,2026-03-04 07:40:00,2,0.0,pass,last_minute,local,3
T000147,E003,2026-02-08 13:30:00,1,15.94,partenaire,plein,local,27
T000148,E003,2026-03-06 17:00:00,1,14.03,web,last_minute,local,0
T000149,E003,2026-02-23 04:10:00,1,15.9,web,plein,local,12
T000150,E003,2026-02-21 09:40:00,1,15.89,partenaire,plein,local,14
T000151,E003,2026-02-18 04:30:00,4,55.91,web,plein,local,17
T000152,E003,2026-02-01 11:30:00,1,11.25,guichet,early_bird,local,34
T000153,E003,2026-02-17 15:30:00,1,14.22,web,plein,local,18
T000154,E003,2026-02-15 11:10:00,1,11.58,partenaire,reduit,local,20
T000155,E003,2026-03-05 04:00:00,1,13.46,web,last_minute,local,2
T000156,E003,2026-03-04 05:20:00,2,26.46,web,last_minute,local,3
T000157,E003,2026-02-26 04:30:00,1,14.68,web,plein,local,9
T000158,E003,2026-03-06 13:00:00,1,12.64,web,last_minute,local,0
T000159,E003,2026-02-23 10:10:00,1,13.18,web,reduit,local,12
T000160,E003,2026-02-21 12:40:00,1,15.31,web,plein,local,14
T000161,E003,2026-02-09 15:30:00,1,11.93,web,reduit,local,26
T000162,E003,2026-02-24 03:20:00,2,29.72,partenaire,plein,local,11
T000163,E003,2026-02-16 13:30:00,1,11.83,guichet,reduit,local,19
T000164,E003,2026-02-28 08:40:00,2,21.75,web,early_bird,local,7
T000165,E003,2026-02-27 06:50:00,2,23.19,web,early_bird,touriste,8
T000166,E003,2026-02-18 09:00:00,1,14.42,web,plein,touriste,17
T000167,E003,2026-02-21 09:30:00,1,14.04,web,plein,touriste,14
T000168,E003,2026-03-05 05:30:00,1,13.66,partenaire,last_minute,local,2
T000169,E003,2026-03-06 08:00:00,1,13.11,web,last_minute,touriste,1
T000170,E003,2026-02-13 10:00:00,1,11.38,web,early_bird,local,22
T000171,E003,2026-02-12 05:00:00,2,23.99,web,reduit,local,23
T000172,E003,2026-02-07 14:30:00,1,0.0,pass,plein,local,28
T000173,E003,2026-01-29 11:30:00,2,25.22,guichet,reduit,touriste,37
T000174,E003,2026-03-06 17:00:00,1,13.39,web,last_minute,touriste,0
T000175,E003,2026-02-08 07:10:00,2,22.43,web,reduit,local,27
T000176,E003,2026-03-06 17:00:00,1,12.34,web,reduit,local,0
T000177,E003,2026-02-26 03:20:00,1,14.92,partenaire,plein,touriste,9
T000178,E003,2026-02-08 05:10:00,1,10.73,web,early_bird,local,27
T000179,E003,2026-03-06 17:00:00,4,61.64,web,plein,touriste,0
T000180,E003,2026-02-24 10:40:00,4,45.82,web,reduit,local,11
T000181,E003,2026-02-19 07:50:00,1,15.16,web,plein,local,16
T000182,E003,2026-02-16 13:40:00,3,43.24,guichet,plein,touriste,19
T000183,E003,2026-02-01 12:20:00,1,15.97,web,plein,local,34
T000184,E003,2026-02-28 07:10:00,1,12.34,web,reduit,local,7
T000185,E003,2026-03-05 09:40:00,1,11.86,guichet,last_minute,local,2
T000186,E003,2026-02-19 03:50:00,1,14.46,web,plein,local,16
T000187,E003,2026-03-05 15:50:00,1,15.16,web,plein,touriste,2
T000188,E003,2026-03-06 13:00:00,1,13.53,guichet,last_minute,local,0
T000189,E003,2026-02-08 07:50:00,2,23.41,web,early_bird,local,27
T000190,E003,2026-02-16 05:50:00,1,13.1,partenaire,reduit,local,19
T000191,E003,2026-03-06 17:00:00,3,43.14,web,plein,local,0
T000192,E003,2026-02-18 07:20:00,3,44.81,partenaire,plein,local,17
T000193,E003,2026-02-17 11:20:00,3,38.84,web,reduit,local,18
T000194,E003,2026-02-18 07:30:00,1,14.75,guichet,plein,touriste,17
T000195,E003,2026-03-06 15:00:00,2,26.62,web,last_minute,touriste,1
T000196,E003,2026-02-19 06:50:00,1,16.25,web,plein,local,16
T000197,E003,2026-02-24 15:40:00,2,0.0,pass,reduit,touriste,11
T000198,E003,2026-02-12 11:00:00,1,14.89,partenaire,plein,local,23
T000199,E003,2026-03-06 12:00:00,1,15.01,web,plein,local,0
T000200,E003,2026-03-02 03:40:00,1,13.36,web,last_minute,local,5
T000201,E003,2026-01-22 06:50:00,2,22.78,web,early_bird,touriste,44
T000202,E003,2026-02-14 07:50:00,1,15.1,guichet,plein,touriste,21
T000203,E009,2026-02-19 10:30:00,2,45.16,web,plein,touriste,19
T000204,E009,2026-02-24 12:30:00,2,43.45,web,plein,local,14
T000205,E009,2026-03-05 14:30:00,1,0.0,pass,plein,local,5
T000206,E009,2026-02-09 16:00:00,3,54.58,partenaire,reduit,touriste,29
T000207,E009,2026-01-22 10:00:00,1,16.19,web,early_bird,touriste,47
T000208,E009,2026-02-12 09:20:00,1,17.33,web,reduit,local,26
T000209,E009,2026-02-17 16:20:00,2,43.77,partenaire,plein,local,21
T000210,E009,2026-02-11 13:00:00,2,45.21,web,plein,touriste,27
T000211,E009,2026-03-04 06:00:00,1,16.85,web,reduit,local,6
T000212,E009,2026-02-01 15:10:00,1,17.0,web,early_bird,local,37
T000213,E009,2026-02-18 09:10:00,1,22.41,partenaire,plein,local,20
T000214,E009,2026-02-23 06:20:00,2,47.17,web,plein,touriste,15
T000215,E009,2026-02-02 10:10:00,2,33.87,web,early_bird,local,36
T000216,E009,2026-02-22 11:10:00,1,22.27,guichet,plein,local,16
T000217,E009,2026-02-06 08:50:00,1,18.41,web,reduit,local,32
T000218,E009,2026-02-23 13:20:00,3,66.18,web,plein,local,15
T000219,E009,2026-03-06 15:00:00,4,87.7,web,plein,local,4
T000220,E009,2026-01-30 10:30:00,1,17.91,guichet,reduit,local,39
T000221,E009,2026-02-26 12:30:00,2,34.69,web,reduit,touriste,12
T000222,E009,2026-02-16 07:00:00,3,48.62,web,reduit,touriste,22
T000223,E009,2026-03-09 15:50:00,2,42.45,web,plein,local,1
T000224,E009,2026-03-09 18:00:00,1,17.8,partenaire,reduit,local,0
T000225,E009,2026-02-27 17:00:00,1,21.84,web,plein,local,11
T000226,E009,2026-01-25 17:10:00,1,16.41,web,early_bird,local,44
T000227,E009,2026-02-06 13:30:00,1,22.68,guichet,plein,local,32
T000228,E009,2026-03-07 16:20:00,4,89.24,web,plein,local,3
T000229,E009,2026-02-27 07:00:00,1,21.34,web,plein,touriste,11
T000230,E009,2026-02-03 17:20:00,2,33.19,web,early_bird,local,35
T000231,E009,2026-02-03 14:40:00,1,16.49,web,early_bird,local,35
T000232,E009,2026-02-26 16:30:00,1,22.09,web,plein,local,12
T000233,E009,2026-02-04 15:20:00,2,33.01,partenaire,early_bird,touriste,34
T000234,E009,2026-02-11 16:30:00,1,20.4,web,plein,local,27
T000235,E009,2026-02-12 11:00:00,1,20.76,web,plein,touriste,26
T000236,E009,2026-01-31 14:40:00,4,65.39,web,early_bird,touriste,38
T000237,E009,2026-03-09 18:00:00,2,34.27,web,reduit,local,0
T000238,E009,2026-02-28 11:20:00,1,21.96,web,plein,local,10
T000239,E009,2026-02-15 12:00:00,1,22.76,guichet,plein,local,23
T000240,E009,2026-03-04 17:40:00,2,43.13,web,plein,local,6
T000241,E009,2026-03-02 11:20:00,2,44.59,web,plein,local,8
T000242,E009,2026-02-28 07:00:00,1,17.81,partenaire,reduit,local,10
T000243,E009,2026-02-17 07:20:00,3,68.12,partenaire,plein,local,21
T000244,E009,2026-02-08 12:20:00,1,21.4,web,plein,local,30
T000245,E009,2026-02-19 07:20:00,1,21.81,web,plein,local,19
T000246,E009,2026-03-09 19:00:00,3,55.98,web,reduit,local,0
T000247,E009,2026-03-02 10:10:00,1,22.63,web,plein,local,8
T000248,E009,2026-01-19 07:00:00,1,15.78,partenaire,early_bird,local,50
T000249,E009,2026-03-09 14:50:00,2,46.11,web,plein,local,1
T000250,E009,2026-03-09 17:00:00,4,86.69,web,plein,local,0
T000251,E009,2026-02-10 07:20:00,3,50.22,web,early_bird,local,28
T000252,E009,2026-02-15 12:20:00,2,43.96,web,plein,local,23
T000253,E009,2026-02-28 18:40:00,1,21.97,web,plein,local,10
T000254,E009,2026-02-03 12:00:00,1,22.84,partenaire,plein,local,35
T000255,E009,2026-02-23 12:20:00,4,87.56,web,plein,local,15
T000256,E009,2026-03-09 07:40:00,1,17.66,web,reduit,local,1
T000257,E009,2026-02-23 18:20:00,1,17.01,web,reduit,local,15
T000258,E009,2026-02-04 08:10:00,3,0.0,pass,plein,local,34
T000259,E009,2026-02-17 08:50:00,1,22.97,web,plein,local,21
T000260,E009,2026-02-09 13:40:00,2,0.0,pass,plein,local,29
T000261,E009,2026-03-09 15:00:00,1,16.83,web,reduit,touriste,0
T000262,E009,2026-03-09 11:10:00,2,39.84,web,last_minute,touriste,1
T000263,E009,2026-03-03 18:20:00,1,21.16,web,plein,local,7
T000264,E009,2026-02-11 13:30:00,1,17.07,web,reduit,local,27
T000265,E009,2026-03-06 16:00:00,2,47.16,web,plein,local,4
T000266,E009,2026-02-24 14:50:00,1,17.71,web,reduit,local,14
T000267,E009,2026-02-10 16:10:00,1,16.57,web,early_bird,touriste,28
T000268,E009,2026-03-09 20:00:00,2,45.18,web,plein,local,0
T000269,E009,2026-02-04 07:40:00,2,35.12,guichet,early_bird,touriste,34
T000270,E009,2026-03-09 16:00:00,2,34.72,web,reduit,local,0
T000271,E009,2026-02-18 12:30:00,1,18.18,web,reduit,touriste,20
T000272,E009,2026-02-25 16:50:00,1,17.19,web,early_bird,local,13
T000273,E009,2026-02-25 12:20:00,1,22.37,web,plein,local,13
T000274,E009,2026-02-14 15:10:00,2,44.14,guichet,plein,touriste,24
T000275,E009,2026-02-19 11:20:00,2,45.3,web,plein,local,19
T000276,E009,2026-03-09 15:50:00,1,20.58,partenaire,last_minute,local,1
T000277,E009,2026-03-08 18:20:00,1,19.92,web,last_minute,local,2
T000278,E009,2026-01-25 17:50:00,1,16.58,web,early_bird,touriste,44
T000279,E009,2026-03-09 20:00:00,3,61.3,web,last_minute,local,0
T000280,E009,2026-02-13 18:30:00,3,65.86,web,plein,local,25
T000281,E009,2026-02-15 10:00:00,1,0.0,pass,plein,local,23
T000282,E009,2026-03-02 14:00:00,2,43.48,web,plein,local,8
T000283,E009,2026-02-28 15:30:00,1,16.97,guichet,reduit,local,10
T000284,E009,2026-02-12 15:10:00,2,43.78,web,plein,local,26
T000285,E009,2026-03-01 17:10:00,2,34.42,web,reduit,local,9
T000286,E009,2026-03-06 18:30:00,2,39.92,web,last_minute,local,4
T000287,E009,2026-02-16 18:30:00,1,22.43,web,plein,touriste,22
T000288,E009,2026-03-08 15:30:00,2,38.98,web,last_minute,local,2
T000289,E009,2026-02-10 14:30:00,1,22.55,web,plein,local,28
T000290,E009,2026-03-08 08:20:00,4,78.13,guichet,last_minute,touriste,2
T000291,E009,2026-02-10 07:50:00,1,21.48,web,plein,local,28
T000292,E009,2026-01-25 18:10:00,1,15.69,guichet,early_bird,local,44
T000293,E009,2026-03-06 12:00:00,1,20.84,guichet,plein,local,4
T000294,E009,2026-03-09 17:00:00,2,40.78,web,last_minute,local,0
T000295,E009,2026-02-27 07:20:00,4,93.54,web,plein,local,11
T000296,E009,2026-03-03 17:50:00,1,22.1,web,plein,local,7
T000297,E009,2026-02-20 13:50:00,2,42.12,web,plein,local,18
T000298,E009,2026-02-03 15:00:00,1,16.46,partenaire,early_bird,local,35
T000299,E009,2026-03-09 15:00:00,2,39.0,web,last_minute,local,0
T000300,E009,2026-02-26 09:20:00,4,73.81,web,reduit,local,12
T000301,E009,2026-03-02 15:30:00,2,44.41,web,plein,local,8
T000302,E009,2026-02-28 14:00:00,1,22.12,guichet,plein,local,10
T000303,E009,2026-03-09 20:00:00,2,34.19,web,reduit,local,0
T000304,E009,2026-02-23 16:50:00,3,51.7,web,reduit,local,15
T000305,E009,2026-02-28 14:40:00,3,0.0,pass,plein,local,10
T000306,E009,2026-02-19 12:30:00,2,0.0,pass,plein,local,19
T000307,E009,2026-02-14 17:00:00,1,20.95,web,plein,local,24
T000308,E009,2026-03-09 16:50:00,1,21.98,web,plein,local,1
T000309,E009,2026-02-07 08:00:00,1,22.42,web,plein,local,31
T000310,E009,2026-03-07 18:50:00,1,21.99,web,plein,local,3
T000311,E009,2026-02-13 18:10:00,1,23.16,partenaire,plein,local,25
T000312,E009,2026-02-21 10:10:00,1,22.85,partenaire,plein,local,17
T000313,E009,2026-02-06 10:40:00,1,22.14,web,plein,local,32
T000314,E009,2026-02-21 06:50:00,2,44.98,guichet,plein,local,17
T000315,E009,2026-02-19 16:20:00,2,45.21,web,plein,touriste,19
T000316,E009,2026-02-09 12:50:00,2,44.68,partenaire,plein,local,29
T000317,E009,2026-02-23 08:30:00,1,0.0,pass,plein,local,15
T000318,E009,2026-03-03 10:00:00,2,35.79,web,reduit,touriste,7
T000319,E009,2026-02-24 08:40:00,1,18.37,web,reduit,local,14
T000320,E009,2026-02-16 10:20:00,4,84.43,web,plein,local,22
T000321,E009,2026-03-09 17:00:00,2,45.78,partenaire,plein,local,0
T000322,E009,2026-02-10 12:20:00,1,22.13,guichet,plein,local,28
T000323,E009,2026-02-22 16:50:00,4,75.59,partenaire,reduit,local,16
T000324,E009,2026-02-12 08:00:00,3,63.41,web,plein,local,26
T000325,E009,2026-03-01 06:10:00,1,22.12,web,plein,touriste,9
T000326,E009,2026-02-28 12:40:00,2,45.09,partenaire,plein,local,10
T000327,E009,2026-02-13 11:20:00,1,21.09,web,plein,local,25
T000328,E009,2026-02-21 11:30:00,1,21.68,web,plein,local,17
T000329,E009,2026-02-09 06:50:00,2,43.92,web,plein,touriste,29
T000330,E009,2026-03-09 18:00:00,5,108.78,web,plein,touriste,0
T000331,E009,2026-03-09 19:00:00,1,16.28,web,reduit,local,0
T000332,E009,2026-02-18 17:30:00,1,22.59,guichet,plein,local,20
T000333,E009,2026-03-08 11:50:00,2,38.92,guichet,last_minute,touriste,2
T000334,E009,2026-02-27 10:10:00,4,85.25,web,plein,local,11
T000335,E009,2026-02-06 18:20:00,1,16.96,guichet,reduit,local,32
T000336,E009,2026-02-16 08:10:00,1,21.88,web,plein,local,22
T000337,E009,2026-02-19 11:30:00,3,52.1,web,early_bird,local,19
T000338,E009,2026-01-28 07:00:00,1,16.48,web,early_bird,local,41
T000339,E009,2026-02-21 14:30:00,2,0.0,pass,plein,local,17
T000340,E009,2026-01-29 11:50:00,3,50.66,guichet,early_bird,local,40
T000341,E009,2026-02-11 08:40:00,1,22.75,web,plein,local,27
T000342,E009,2026-02-20 12:40:00,1,17.19,web,reduit,touriste,18
T000343,E009,2026-03-05 08:20:00,1,19.36,web,last_minute,local,5
T000344,E009,2026-02-25 11:40:00,2,45.01,web,plein,local,13
T000345,E009,2026-02-11 16:40:00,1,16.33,guichet,early_bird,local,27
T000346,E009,2026-02-25 07:40:00,1,21.73,web,plein,local,13
T000347,E009,2026-03-09 16:00:00,2,36.43,web,reduit,local,0
T000348,E009,2026-03-07 15:00:00,3,51.06,web,reduit,touriste,3
T000349,E009,2026-02-04 16:40:00,1,17.94,web,early_bird,local,34
T000350,E009,2026-02-25 15:50:00,2,43.73,web,plein,local,13
T000351,E009,2026-02-24 16:20:00,1,21.47,guichet,plein,local,14
T000352,E009,2026-02-24 10:30:00,1,21.4,guichet,plein,local,14
T000353,E009,2026-02-27 13:30:00,2,45.19,web,plein,local,11
T000354,E009,2026-02-18 17:20:00,1,22.84,web,plein,local,20
T000355,E009,2026-02-15 08:20:00,1,18.69,guichet,reduit,touriste,23
T000356,E009,2026-02-21 07:20:00,3,67.61,web,plein,local,17
T000357,E009,2026-02-18 12:40:00,1,22.07,web,plein,local,20
T000358,E009,2026-02-15 11:40:00,2,0.0,pass,plein,touriste,23
T000359,E009,2026-02-04 14:30:00,2,34.37,web,reduit,local,34
T000360,E009,2026-02-28 12:40:00,1,22.12,web,plein,local,10
T000361,E009,2026-03-03 06:00:00,3,65.13,web,plein,local,7
T000362,E009,2026-03-07 16:30:00,2,43.36,web,plein,touriste,3
T000363,E009,2026-02-25 08:20:00,2,46.57,web,plein,local,13
T000364,E009,2026-03-06 12:00:00,5,92.02,partenaire,reduit,local,4
T000365,E009,2026-02-24 07:30:00,1,22.07,web,plein,local,14
T000366,E009,2026-03-02 15:50:00,1,22.57,partenaire,plein,local,8
T000367,E009,2026-02-27 11:20:00,3,49.8,web,reduit,local,11
T000368,E009,2026-02-15 15:40:00,1,22.52,web,plein,local,23
T000369,E009,2026-03-09 17:20:00,4,84.49,web,plein,local,1
T000370,E009,2026-02-22 14:10:00,2,35.4,web,early_bird,local,16
T000371,E009,2026-02-14 15:50:00,3,65.93,web,plein,local,24
T000372,E009,2026-02-23 14:40:00,2,32.31,web,early_bird,local,15
T000373,E009,2026-02-10 06:20:00,2,45.66,web,plein,local,28
T000374,E009,2026-02-20 10:50:00,3,64.77,web,plein,local,18
T000375,E009,2026-02-10 10:50:00,4,64.39,web,early_bird,local,28
T000376,E009,2026-01-31 17:00:00,1,16.66,partenaire,early_bird,local,38
T000377,E009,2026-02-19 15:30:00,1,17.38,web,reduit,local,19
T000378,E009,2026-03-09 19:00:00,2,45.16,partenaire,plein,local,0
